sequenceID	m49_country.display_name	gb_length	non_n_length	gb_genotype	recogniser_genotypes	reverse_complement	rotation
AB006449	-	1203	1200	-	C	FALSE	834
AB010289	-	3215	3215	-	B	FALSE	0
AB010290	-	3215	3215	-	B	FALSE	0
AB010291	-	3215	3215	-	B	FALSE	0
AB010292	-	3215	3215	-	B	FALSE	0
AB014360	-	3215	3215	C	C	FALSE	0
AB014361	-	3167	3167	C	C	FALSE	0
AB014362	-	3215	3215	C	C	FALSE	0
AB014363	-	3215	3215	C	C	FALSE	0
AB014364	-	3104	3104	C	C	FALSE	0
AB014365	-	3215	3215	C	C	FALSE	0
AB014366	-	3227	3227	B	B	FALSE	0
AB014367	-	3215	3215	C	C	FALSE	0
AB014368	-	3167	3167	C	C	FALSE	0
AB014369	-	3215	3215	C	C	FALSE	0
AB014370	-	3221	3221	A	A	FALSE	0
AB014371	-	3221	3221	C	C	FALSE	0
AB014372	-	3197	3197	C	C	FALSE	0
AB014373	-	3179	3178	C	C	FALSE	0
AB014374	-	3215	3215	C	C	FALSE	0
AB014375	-	3170	3170	C	C	FALSE	0
AB014376	-	3215	3215	C	C	FALSE	0
AB014377	-	3215	3215	C	C	FALSE	0
AB014378	-	3215	3215	C	C	FALSE	0
AB014379	-	3215	3215	C	C	FALSE	0
AB014380	-	3215	3215	C	C	FALSE	0
AB014381	-	3215	3214	C	C	FALSE	0
AB014382	-	3215	3215	C	C	FALSE	0
AB014383	-	3215	3215	C	C	FALSE	0
AB014384	-	3215	3215	C	C	FALSE	0
AB014385	-	3215	3215	C	C	FALSE	0
AB014386	-	3014	3014	C	C	FALSE	0
AB014387	-	3170	3170	C	C	FALSE	0
AB014388	-	3161	3161	C	C	FALSE	0
AB014389	-	3168	3168	C	C	FALSE	0
AB014390	-	3176	3176	C	C	FALSE	0
AB014391	-	3215	3215	C	C	FALSE	0
AB014392	-	3215	3215	C	C	FALSE	0
AB014393	-	3215	3215	C	C	FALSE	0
AB014394	-	3215	3215	C	C	FALSE	0
AB014395	-	3119	3119	C	C	FALSE	0
AB014396	-	3215	3215	C	C	FALSE	0
AB014397	-	3185	3185	C	C	FALSE	0
AB014398	-	3167	3167	C	C	FALSE	0
AB014399	-	3215	3215	C	C	FALSE	0
AB023661	-	552	552	-	C	FALSE	0
AB023662	-	552	552	-	C	FALSE	0
AB023663	-	552	552	-	C	FALSE	0
AB023664	-	552	552	-	C	FALSE	0
AB023665	-	552	552	-	C	FALSE	0
AB023666	-	552	552	-	C	FALSE	0
AB023667	-	552	552	-	C	FALSE	0
AB023668	-	552	552	-	C	FALSE	0
AB023669	-	552	552	-	C	FALSE	0
AB023670	-	552	552	-	C	FALSE	0
AB023671	-	552	552	-	C	FALSE	0
AB023672	-	552	552	-	C	FALSE	0
AB023673	-	552	552	-	C	FALSE	0
AB023674	-	552	552	-	C	FALSE	0
AB023675	-	552	552	-	C	FALSE	0
AB023676	-	552	552	-	C	FALSE	0
AB023677	-	552	552	-	C	FALSE	0
AB023678	-	552	552	-	B	FALSE	0
AB023679	-	552	552	-	C	FALSE	0
AB023680	-	552	552	-	C	FALSE	0
AB023681	-	552	552	-	C	FALSE	0
AB023682	-	552	552	-	C	FALSE	0
AB023683	-	552	552	-	C	FALSE	0
AB023684	-	552	552	-	C	FALSE	0
AB023685	-	552	552	-	C	FALSE	0
AB023686	-	552	552	-	C	FALSE	0
AB026811	-	3215	3215	-	C	FALSE	0
AB026812	-	3215	3215	-	C	FALSE	0
AB026813	-	3215	3215	-	C	FALSE	0
AB026814	-	3215	3215	-	C	FALSE	0
AB026815	-	3215	3215	-	C	FALSE	0
AB029950	-	681	681	-	C	FALSE	0
AB029951	-	681	681	-	C	FALSE	0
AB029952	-	681	681	-	C	FALSE	0
AB029953	-	681	681	-	C	FALSE	0
AB029954	-	681	681	-	C	FALSE	0
AB029955	-	681	681	-	C	FALSE	0
AB029956	-	681	681	-	C	FALSE	0
AB029957	-	681	681	-	C	FALSE	0
AB029958	-	681	681	-	C	FALSE	0
AB029959	-	681	681	-	C	FALSE	0
AB029960	-	681	681	-	C	FALSE	0
AB029961	-	681	681	-	C	FALSE	0
AB029962	-	681	681	-	C	FALSE	0
AB029963	-	681	681	-	C	FALSE	0
AB029964	-	681	681	-	C	FALSE	0
AB029965	-	681	681	-	C	FALSE	0
AB029966	-	681	681	-	C	FALSE	0
AB029967	-	681	681	-	C	FALSE	0
AB029968	-	681	681	-	C	FALSE	0
AB029969	-	681	681	-	C	FALSE	0
AB029970	-	681	681	-	C	FALSE	0
AB029971	-	681	681	-	C	FALSE	0
AB029972	-	681	681	-	C	FALSE	0
AB029973	-	681	681	-	C	FALSE	0
AB029974	-	681	681	-	C	FALSE	0
AB029975	-	681	681	-	C	FALSE	0
AB029976	-	681	681	-	C	FALSE	0
AB029977	-	681	681	-	C	FALSE	0
AB029978	-	681	681	-	C	FALSE	0
AB029979	-	681	681	-	C	FALSE	0
AB029980	-	681	681	-	C	FALSE	0
AB029981	-	681	681	-	C	FALSE	0
AB029982	-	681	681	-	C	FALSE	0
AB029983	-	681	681	-	C	FALSE	0
AB029984	-	681	681	-	C	FALSE	0
AB029985	-	681	681	-	C	FALSE	0
AB029986	-	681	681	-	C	FALSE	0
AB029987	-	681	681	-	C	FALSE	0
AB029988	-	681	681	-	C	FALSE	0
AB029989	-	681	681	-	C	FALSE	0
AB029990	-	681	681	-	C	FALSE	0
AB029991	-	681	681	-	C	FALSE	0
AB030507	-	681	681	-	C	FALSE	0
AB030508	-	681	681	-	C	FALSE	0
AB030509	-	681	681	-	B	FALSE	0
AB030510	-	681	681	-	C	FALSE	0
AB030511	-	681	681	-	C	FALSE	0
AB030512	-	681	681	-	C	FALSE	0
AB030513	-	681	681	-	A	FALSE	0
AB030514	-	681	681	-	C	FALSE	0
AB030515	-	681	681	-	C	FALSE	0
AB030516	-	681	681	-	C	FALSE	0
AB030517	-	681	681	-	C	FALSE	0
AB031260	-	552	552	-	C	FALSE	0
AB031261	-	552	552	-	C/B	FALSE	0
AB031262	-	3215	3215	-	C	FALSE	0
AB031263	-	552	552	-	C/B	FALSE	0
AB031264	-	552	552	-	B/C	FALSE	0
AB031265	-	3215	3215	-	C	FALSE	0
AB031266	-	3155	3155	-	B	FALSE	0
AB031267	-	3215	3215	-	B	FALSE	0
AB031268	-	552	552	-	B/C	FALSE	0
AB032431	-	3212	3212	-	E	FALSE	0
AB033272	-	1342	1342	-	E	FALSE	969
AB033273	-	1342	1342	-	E	FALSE	969
AB033274	-	1342	1342	-	E	FALSE	969
AB033275	-	1342	1333	-	E	FALSE	969
AB033550	-	3215	3215	-	C	FALSE	0
AB033551	-	3215	3215	-	C	FALSE	0
AB033552	-	3215	3215	-	C	FALSE	0
AB033553	-	3215	3215	-	C	FALSE	0
AB033554	-	3215	3215	-	B	FALSE	0
AB033555	-	3215	3215	-	B	FALSE	0
AB033556	-	3215	3215	-	C	FALSE	0
AB033557	-	3215	3215	-	C	FALSE	0
AB033558	-	3182	3182	-	D	FALSE	0
AB033559	-	3182	3182	-	D	FALSE	0
AB036905	-	3215	3215	-	F	FALSE	0
AB036906	-	3206	3206	-	F	FALSE	0
AB036907	-	3206	3206	-	F	FALSE	0
AB036908	-	3206	3206	-	F	FALSE	0
AB036909	-	3215	3215	-	F	FALSE	0
AB036910	-	3215	3215	-	F	FALSE	0
AB036911	-	3215	3215	-	F	FALSE	0
AB036912	-	3215	3215	-	F	FALSE	0
AB036913	-	3215	3215	-	F	FALSE	0
AB036914	-	3215	3215	-	F	FALSE	0
AB036915	-	3215	3215	-	F	FALSE	0
AB036916	-	3215	3215	-	F	FALSE	0
AB036917	-	3215	3215	-	F	FALSE	0
AB036918	-	3129	3129	-	F	FALSE	0
AB036919	-	3215	3215	-	F	FALSE	0
AB036920	-	3215	3215	-	F	FALSE	0
AB037944	Venezuela	681	681	-	F	FALSE	0
AB037945	Venezuela	681	681	-	F	FALSE	0
AB037946	Venezuela	681	681	-	F	FALSE	0
AB039740	-	681	681	-	C	FALSE	0
AB039741	-	681	681	-	C	FALSE	0
